YEAR,ID,HRS1,MARITAL,DIVORCE,SPWRKSTA,SPHRS1,CHILDS,AGE,EDUC,SPEDUC,SEX,RACE,RES16,REG16,RINCOME,REGION,PARTYID,SOCOMMUN,SOCFREND,SOCBAR,ROMANCE,LIVEWITH,HAPPROM,WILLWED1,WILLWED2,SPHMEWRK,FAIRHWRK,EARNMORE,FAMFINAN,EARNMORE,TRADMOD,SHARESEP,EMOTEOTH,CHLDIDEL,PREMARSX,MENBEN,WOMENBEN,CHLDBEN,ALLBEN,NOONEBEN,PARTNERS,MATESEX
1996,98,24,4,,,,2,43,13,97,1,1,6,2,8,2,5,6,5,5,2,,,,2,,,,,,2,2,2,2,4,2,1,1,2,2,1,1
1996,99,55,5,,,,0,19,7,97,1,3,4,5,1,2,3,,,,1,2,2,4,,,,,,,2,1,1,,,2,2,2,1,2,6,2
1996,100,,5,,,,3,86,11,97,2,2,2,5,,2,0,7,4,7,2,,,,2,,,,,,2,2,2,4,1,2,2,2,1,2,0,
1996,101,,1,2,1,40,2,41,14,12,1,1,2,0,9,2,0,,,,,,,,,4,2,4,,4,2,1,1,,,2,2,2,1,2,1,2
1996,102,32,5,,,,0,21,10,97,2,1,6,2,8,2,5,4,3,7,1,2,2,3,,,,,,,2,1,2,3,4,1,1,1,2,2,1,1
1996,103,,1,2,1,40,6,37,12,9,2,2,3,0,,2,5,3,6,3,,,,,,4,1,5,,5,2,1,1,3,4,1,1,1,2,2,1,1
1996,104,,1,2,1,44,2,38,14,12,2,1,6,2,,2,3,,,,,,,,,,,,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,106,,1,2,1,48,5,43,9,10,2,1,6,2,,2,2,7,7,7,,,,,,,,,1,,,,,2,4,,,,,,1,1
1996,107,48,1,2,1,40,3,40,8,9,1,1,2,0,11,2,2,2,2,7,,,,,,,,,4,,,,,3,1,,,,,,2,2
1996,108,,5,,,,0,37,11,97,1,1,6,0,12,2,1,7,2,3,2,,,,1,,,,,,2,1,2,2,4,2,2,2,1,2,3,2
1996,109,,5,,,,0,25,16,97,1,2,5,2,13,2,1,,,,1,2,2,2,,,,,,,1,1,2,,,2,2,1,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,111,,5,,,,4,29,13,97,2,2,4,2,,2,0,1,5,5,1,2,2,1,,,,,,,2,1,2,9,1,2,2,2,1,2,1,1
1996,112,35,5,,,,1,25,12,97,2,2,3,2,8,2,3,,,,2,,,,1,,,,,,2,1,2,,,9,9,9,9,1,1,1
1996,113,60,1,2,1,40,3,46,16,16,2,3,4,0,11,2,3,4,4,7,,,,,,5,1,2,,2,2,1,2,4,1,2,2,2,2,1,1,1
1996,114,,1,2,7,,3,38,15,14,1,3,3,0,12,2,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1
1996,115,21,1,2,1,40,4,37,11,11,2,3,4,2,5,2,3,2,3,7,,,,,,,,,4,,,,,4,4,,,,,,1,1
1996,116,,5,,,,2,24,13,97,2,2,4,2,4,2,0,1,7,4,1,2,2,2,,,,,,,2,2,1,8,4,9,9,9,9,1,1,1
1996,117,,1,2,1,50,2,35,9,13,2,3,4,0,,2,3,2,2,7,,,,,,,,,2,,,,,2,1,,,,,,,
1996,118,,1,2,1,35,3,62,20,17,1,1,3,0,,2,1,6,4,7,,,,,,3,1,4,,4,1,1,1,1,4,2,2,2,1,2,,
1996,119,50,5,,,,0,38,14,97,2,1,5,2,11,2,0,3,4,5,2,,,,1,,,,,,2,2,2,2,4,1,1,1,1,2,0,
1996,120,,2,2,,,2,89,16,97,2,1,4,2,,2,1,1,2,7,,,,,,,,,,,,,,3,3,,,,,,,
1996,121,,3,,,,3,71,14,97,2,1,4,2,99,2,2,,,,,,,,,,,,,,,,,,,,,,,,0,
1996,122,40,3,,,,2,60,14,97,1,1,3,0,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,2
1996,123,20,1,1,1,40,3,48,14,14,2,3,6,2,99,2,3,2,4,4,,,,,,,,,4,,,,,3,1,,,,,,1,1
1996,124,,4,,,,0,30,16,97,1,1,3,0,12,2,4,5,3,6,1,1,1,1,,3,3,1,,1,2,2,1,2,3,2,2,2,1,2,1,1
1996,125,40,1,2,1,40,2,49,14,12,2,1,6,2,13,2,1,5,3,7,,,,,,,,,5,,,,,2,3,,,,,,1,1
1996,126,40,5,,,,0,24,13,97,2,1,5,2,10,2,1,2,2,3,,,,,,,,,,,,,,2,4,,,,,,3,1
1996,127,,1,1,3,,5,37,12,12,2,1,5,2,,2,5,4,4,6,,,,,,4,1,5,,5,1,1,1,5,3,1,1,1,1,2,1,1
1996,128,52,1,2,1,40,2,32,14,14,1,1,4,2,12,2,4,3,3,3,,,,,,3,1,1,,1,2,1,1,2,4,2,2,2,2,1,1,1
